HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Percent of cancer patients dying in hospital (2012),,,Percent of cancer patients admitted to hospital during the last month of life (2012 deaths),,,Hospital days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients admitted to intensive care during the last month of life (2012 deaths),,,ICU days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients receiving life-sustaining treatment during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last month of life (2012 deaths),,,Hospice days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last three days of life (2012 deaths),,,Percent of cancer patients seeing ten or more physicians during the last six months of life (2012 deaths),,
,,,,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
62,Napa,CA,257,24.8 ,19.4 ,31.7 ,59.4 ,50.7 ,69.5 ,4.2 ,3.5 ,4.9 ,34.2 ,27.8 ,42.2 ,1.6 ,1.2 ,2.1 ,8.1 ,5.2 ,12.6 ,55.8 ,47.4 ,65.8 ,8.3 ,7.0 ,9.7 ,10.6 ,7.3 ,15.4 ,43.4 ,36.0 ,52.5 
65,Alameda County,CA,560,31.8 ,27.5 ,36.9 ,62.9 ,56.7 ,69.8 ,5.0 ,4.5 ,5.5 ,39.5 ,34.6 ,45.1 ,2.0 ,1.7 ,2.3 ,10.4 ,8.0 ,13.5 ,50.9 ,45.3 ,57.1 ,8.6 ,7.6 ,9.5 ,5.8 ,4.1 ,8.3 ,61.2 ,54.9 ,68.1 
69,Palm Springs/Rancho Mirage,CA,302,22.1 ,17.3 ,28.2 ,66.0 ,57.4 ,75.9 ,4.4 ,3.8 ,5.1 ,46.2 ,39.0 ,54.7 ,2.2 ,1.8 ,2.6 ,12.6 ,9.0 ,17.5 ,69.8 ,61.1 ,79.8 ,9.8 ,8.5 ,11.0 ,12.6 ,9.1 ,17.3 ,61.7 ,53.3 ,71.3 
73,Redding,CA,322,20.2 ,15.9 ,25.7 ,51.3 ,44.1 ,59.6 ,3.6 ,3.0 ,4.2 ,27.4 ,22.3 ,33.7 ,1.1 ,0.8 ,1.5 ,8.3 ,5.7 ,12.2 ,62.9 ,54.8 ,72.2 ,9.9 ,8.7 ,11.1 ,9.9 ,7.0 ,13.9 ,42.5 ,35.9 ,50.4 
77,Sacramento,CA,"1,245",28.4 ,25.5 ,31.6 ,64.7 ,60.3 ,69.3 ,4.6 ,4.3 ,4.9 ,35.5 ,32.2 ,39.0 ,1.6 ,1.4 ,1.8 ,10.1 ,8.4 ,12.1 ,57.5 ,53.5 ,61.9 ,8.3 ,7.6 ,8.9 ,10.0 ,8.4 ,12.0 ,57.5 ,53.4 ,61.9 
78,Salinas,CA,275,33.5 ,27.3 ,41.2 ,65.3 ,56.4 ,75.5 ,4.5 ,3.8 ,5.1 ,29.8 ,24.0 ,37.1 ,1.0 ,0.5 ,1.4 ,5.7 ,3.4 ,9.5 ,50.7 ,43.0 ,59.9 ,7.8 ,6.5 ,9.1 ,5.4 ,3.3 ,9.0 ,50.2 ,42.3 ,59.4 
79,San Bernardino,CA,782,25.0 ,21.7 ,28.7 ,64.7 ,59.3 ,70.7 ,4.8 ,4.4 ,5.2 ,42.9 ,38.5 ,47.7 ,2.4 ,2.1 ,2.6 ,13.8 ,11.5 ,16.7 ,62.9 ,57.5 ,68.7 ,8.9 ,8.2 ,9.7 ,12.0 ,9.8 ,14.7 ,58.0 ,53.0 ,63.5 
80,San Diego,CA,"1,407",25.5 ,23.0 ,28.4 ,61.5 ,57.5 ,65.7 ,4.4 ,4.1 ,4.7 ,40.5 ,37.3 ,44.1 ,2.1 ,1.9 ,2.3 ,12.4 ,10.6 ,14.4 ,63.8 ,59.7 ,68.1 ,9.7 ,9.1 ,10.3 ,10.5 ,9.0 ,12.4 ,59.2 ,55.3 ,63.4 
81,San Francisco,CA,705,34.8 ,30.6 ,39.6 ,62.7 ,57.1 ,68.9 ,4.9 ,4.5 ,5.4 ,36.5 ,32.2 ,41.3 ,1.5 ,1.3 ,1.8 ,8.8 ,6.8 ,11.3 ,48.6 ,43.8 ,54.0 ,8.4 ,7.6 ,9.2 ,4.3 ,3.0 ,6.2 ,58.5 ,53.0 ,64.6 
82,San Jose,CA,631,34.7 ,30.3 ,39.7 ,64.7 ,58.7 ,71.3 ,5.3 ,4.9 ,5.8 ,35.2 ,30.8 ,40.2 ,2.2 ,1.9 ,2.5 ,11.0 ,8.6 ,14.0 ,54.3 ,48.9 ,60.4 ,8.1 ,7.2 ,9.0 ,9.1 ,7.0 ,11.8 ,63.8 ,57.7 ,70.4 
83,San Luis Obispo,CA,200,17.0 ,12.2 ,23.7 ,53.5 ,44.4 ,64.5 ,3.6 ,2.8 ,4.3 ,31.3 ,24.5 ,40.1 ,1.5 ,1.0 ,2.0 ,7.2 ,4.3 ,12.1 ,66.6 ,56.2 ,78.9 ,10.2 ,8.7 ,11.8 ,13.6 ,9.4 ,19.7 ,50.7 ,41.4 ,62.2 
