HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Percent of cancer patients dying in hospital (2012),,,Percent of cancer patients admitted to hospital during the last month of life (2012 deaths),,,Hospital days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients admitted to intensive care during the last month of life (2012 deaths),,,ICU days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients receiving life-sustaining treatment during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last month of life (2012 deaths),,,Hospice days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last three days of life (2012 deaths),,,Percent of cancer patients seeing ten or more physicians during the last six months of life (2012 deaths),,
,,,,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
218,New Orleans,LA,263,21.5 ,16.6 ,27.7 ,62.0 ,53.2 ,72.2 ,4.6 ,3.9 ,5.3 ,27.3 ,21.7 ,34.3 ,1.0 ,0.5 ,1.4 ,11.8 ,8.5 ,16.4 ,66.9 ,57.6 ,77.8 ,9.5 ,8.2 ,10.8 ,9.5 ,6.3 ,14.3 ,61.3 ,52.5 ,71.5 
219,Shreveport,LA,634,23.4 ,20.0 ,27.4 ,60.5 ,54.8 ,66.9 ,4.5 ,4.1 ,5.0 ,27.3 ,23.6 ,31.6 ,1.1 ,0.9 ,1.4 ,7.1 ,5.4 ,9.4 ,63.0 ,57.0 ,69.7 ,10.4 ,9.5 ,11.2 ,8.6 ,6.6 ,11.3 ,53.3 ,47.9 ,59.2 
220,Slidell,LA,154,16.7 ,11.4 ,24.6 ,64.6 ,53.0 ,78.7 ,4.9 ,4.0 ,5.8 ,30.8 ,23.2 ,40.9 ,1.4 ,0.8 ,1.9 ,10.0 ,6.1 ,16.4 ,75.3 ,62.7 ,90.4 ,11.0 ,9.2 ,12.7 ,11.8 ,7.4 ,18.8 ,64.6 ,53.2 ,78.4 
221,Bangor,ME,441,27.3 ,22.8 ,32.7 ,59.0 ,52.3 ,66.6 ,4.0 ,3.5 ,4.5 ,16.8 ,13.3 ,21.1 ,0.6 ,0.2 ,0.9 ,8.1 ,5.8 ,11.4 ,45.6 ,39.8 ,52.4 ,8.2 ,7.1 ,9.2 ,5.3 ,3.5 ,7.9 ,51.3 ,44.9 ,58.6 
222,Portland,ME,994,22.2 ,19.4 ,25.4 ,54.7 ,50.3 ,59.5 ,3.7 ,3.3 ,4.0 ,16.9 ,14.5 ,19.6 ,0.5 ,0.3 ,0.7 ,5.4 ,4.1 ,7.1 ,66.9 ,62.0 ,72.2 ,10.7 ,10.0 ,11.3 ,9.2 ,7.5 ,11.3 ,54.8 ,50.3 ,59.7 
223,Baltimore,MD,"2,255",22.6 ,20.7 ,24.7 ,65.7 ,62.4 ,69.2 ,5.3 ,5.0 ,5.5 ,29.5 ,27.3 ,31.9 ,1.3 ,1.1 ,1.4 ,12.8 ,11.4 ,14.3 ,65.2 ,61.9 ,68.7 ,9.0 ,8.5 ,9.4 ,12.1 ,10.7 ,13.7 ,66.2 ,62.9 ,69.8 
225,Salisbury,MD,584,18.8 ,15.7 ,22.7 ,57.2 ,51.4 ,63.7 ,4.3 ,3.9 ,4.8 ,24.9 ,21.2 ,29.3 ,1.0 ,0.7 ,1.3 ,8.1 ,6.2 ,10.8 ,68.8 ,62.4 ,76.0 ,10.9 ,10.0 ,11.8 ,9.8 ,7.5 ,12.7 ,65.5 ,59.2 ,72.4 
226,Takoma Park,MD,519,28.8 ,24.5 ,33.8 ,63.5 ,57.0 ,70.8 ,5.8 ,5.3 ,6.3 ,28.5 ,24.3 ,33.5 ,1.3 ,1.0 ,1.6 ,13.1 ,10.4 ,16.6 ,56.8 ,50.6 ,63.7 ,8.6 ,7.7 ,9.6 ,8.4 ,6.2 ,11.4 ,76.8 ,69.6 ,84.8 
227,Boston,MA,"4,188",26.6 ,25.0 ,28.3 ,60.4 ,58.1 ,62.9 ,4.8 ,4.6 ,5.0 ,21.0 ,19.6 ,22.5 ,0.9 ,0.7 ,1.0 ,9.2 ,8.3 ,10.3 ,56.8 ,54.6 ,59.2 ,8.8 ,8.5 ,9.2 ,9.0 ,8.1 ,10.0 ,70.7 ,68.1 ,73.4 
230,Springfield,MA,627,24.0 ,20.4 ,28.2 ,60.8 ,55.0 ,67.3 ,4.5 ,4.0 ,4.9 ,19.5 ,16.3 ,23.3 ,0.6 ,0.3 ,0.9 ,7.3 ,5.4 ,9.9 ,56.6 ,51.0 ,62.8 ,9.0 ,8.2 ,9.9 ,8.6 ,6.6 ,11.3 ,73.1 ,66.6 ,80.3 
231,Worcester,MA,433,23.9 ,19.7 ,29.1 ,59.3 ,52.4 ,67.1 ,4.5 ,4.0 ,5.1 ,22.3 ,18.3 ,27.3 ,0.8 ,0.5 ,1.2 ,9.4 ,6.8 ,12.8 ,55.8 ,49.2 ,63.2 ,9.0 ,7.9 ,10.0 ,8.1 ,5.8 ,11.3 ,70.4 ,62.9 ,78.8 
232,Ann Arbor,MI,"1,020",17.4 ,15.0 ,20.1 ,61.9 ,57.2 ,67.0 ,4.8 ,4.5 ,5.2 ,31.1 ,27.8 ,34.7 ,1.5 ,1.3 ,1.8 ,12.0 ,10.1 ,14.4 ,72.6 ,67.6 ,78.1 ,10.4 ,9.7 ,11.1 ,11.6 ,9.7 ,13.9 ,71.0 ,65.9 ,76.4 
233,Dearborn,MI,485,23.6 ,19.6 ,28.4 ,68.7 ,61.6 ,76.7 ,6.3 ,5.8 ,6.8 ,38.9 ,33.7 ,45.0 ,2.2 ,1.9 ,2.5 ,18.0 ,14.6 ,22.4 ,67.2 ,60.2 ,74.9 ,8.9 ,7.9 ,9.9 ,15.3 ,12.1 ,19.2 ,71.0 ,64.0 ,78.7 
234,Detroit,MI,"1,677",21.0 ,18.9 ,23.4 ,68.3 ,64.3 ,72.5 ,5.5 ,5.2 ,5.8 ,35.3 ,32.5 ,38.3 ,1.7 ,1.6 ,1.9 ,13.7 ,12.0 ,15.5 ,67.9 ,64.0 ,72.1 ,8.4 ,7.9 ,8.9 ,16.6 ,14.7 ,18.9 ,74.4 ,70.4 ,78.6 
235,Flint,MI,503,16.3 ,13.1 ,20.2 ,66.9 ,60.1 ,74.5 ,5.2 ,4.7 ,5.7 ,28.5 ,24.2 ,33.6 ,1.3 ,1.0 ,1.6 ,10.7 ,8.2 ,13.9 ,75.6 ,68.3 ,83.7 ,9.3 ,8.3 ,10.2 ,17.0 ,13.7 ,21.1 ,66.6 ,60.0 ,74.0 
236,Grand Rapids,MI,633,14.8 ,12.1 ,18.1 ,59.3 ,53.7 ,65.6 ,4.1 ,3.6 ,4.5 ,29.9 ,25.9 ,34.5 ,1.2 ,0.9 ,1.5 ,8.8 ,6.7 ,11.4 ,78.9 ,72.3 ,86.2 ,11.9 ,11.0 ,12.7 ,17.4 ,14.4 ,21.0 ,59.5 ,53.7 ,66.0 
238,Kalamazoo,MI,514,18.5 ,15.2 ,22.6 ,55.7 ,49.6 ,62.5 ,3.9 ,3.4 ,4.3 ,16.0 ,12.9 ,19.8 ,0.4 ,0.1 ,0.7 ,7.5 ,5.5 ,10.3 ,64.6 ,58.0 ,71.9 ,10.5 ,9.5 ,11.4 ,10.1 ,7.7 ,13.2 ,53.8 ,47.7 ,60.6 
239,Lansing,MI,492,24.0 ,20.1 ,28.8 ,60.5 ,54.0 ,67.7 ,4.7 ,4.2 ,5.2 ,23.1 ,19.2 ,27.7 ,0.7 ,0.4 ,1.0 ,10.7 ,8.2 ,14.0 ,67.3 ,60.4 ,74.9 ,9.5 ,8.5 ,10.5 ,12.9 ,10.1 ,16.4 ,60.7 ,54.2 ,68.1 
240,Marquette,MI,194,19.3 ,14.0 ,26.5 ,58.7 ,48.9 ,70.5 ,3.8 ,3.0 ,4.6 ,21.2 ,15.7 ,28.7 ,0.4 ,,0.9 ,6.2 ,3.5 ,10.9 ,46.4 ,37.7 ,57.0 ,7.3 ,5.7 ,8.8 ,6.0 ,3.4 ,10.6 ,42.9 ,34.6 ,53.2 
242,Muskegon,MI,191,14.1 ,9.7 ,20.5 ,52.3 ,43.1 ,63.6 ,3.4 ,2.6 ,4.2 ,31.0 ,24.0 ,40.0 ,1.4 ,0.9 ,1.9 ,6.5 ,3.7 ,11.4 ,77.3 ,65.7 ,90.8 ,11.2 ,9.7 ,12.8 ,14.1 ,9.7 ,20.5 ,60.5 ,50.3 ,72.7 
243,Petoskey,MI,174,13.1 ,8.7 ,19.8 ,57.1 ,46.9 ,69.4 ,3.8 ,2.9 ,4.6 ,28.4 ,21.5 ,37.5 ,1.1 ,0.6 ,1.6 ,9.4 ,5.8 ,15.4 ,75.7 ,63.8 ,89.8 ,11.4 ,9.8 ,13.1 ,12.8 ,8.5 ,19.2 ,44.7 ,35.6 ,56.0 
244,Pontiac,MI,373,20.4 ,16.2 ,25.6 ,69.1 ,61.0 ,78.2 ,5.7 ,5.2 ,6.3 ,30.1 ,25.0 ,36.3 ,1.5 ,1.1 ,1.8 ,13.4 ,10.1 ,17.8 ,72.9 ,64.7 ,82.1 ,9.3 ,8.1 ,10.4 ,15.6 ,12.0 ,20.3 ,74.1 ,66.0 ,83.1 
245,Royal Oak,MI,599,19.1 ,15.8 ,23.0 ,73.5 ,66.8 ,80.8 ,6.7 ,6.3 ,7.2 ,45.3 ,40.2 ,51.2 ,2.6 ,2.3 ,2.9 ,15.1 ,12.2 ,18.7 ,73.5 ,66.9 ,80.7 ,8.6 ,7.7 ,9.5 ,21.1 ,17.7 ,25.3 ,79.6 ,72.9 ,87.1 
246,Saginaw,MI,780,17.7 ,14.9 ,20.9 ,60.5 ,55.2 ,66.2 ,4.7 ,4.3 ,5.1 ,25.7 ,22.3 ,29.5 ,0.9 ,0.7 ,1.2 ,10.6 ,8.6 ,13.2 ,71.7 ,66.0 ,78.0 ,10.4 ,9.6 ,11.1 ,15.0 ,12.5 ,18.0 ,59.0 ,53.9 ,64.6 
248,St. Joseph,MI,138,18.1 ,12.2 ,26.8 ,57.2 ,45.9 ,71.3 ,4.0 ,3.0 ,4.9 ,15.2 ,9.9 ,23.3 ,0.4 ,,1.0 ,7.9 ,4.4 ,14.2 ,73.3 ,60.3 ,89.1 ,10.6 ,8.8 ,12.5 ,8.1 ,4.5 ,14.6 ,59.2 ,47.6 ,73.6 
249,Traverse City,MI,258,19.7 ,15.0 ,26.0 ,58.1 ,49.5 ,68.1 ,4.7 ,4.0 ,5.3 ,28.9 ,23.0 ,36.2 ,1.6 ,1.2 ,2.1 ,,,,66.8 ,57.5 ,77.6 ,10.1 ,8.7 ,11.4 ,14.6 ,10.7 ,20.0 ,51.5 ,43.3 ,61.3 
250,Duluth,MN,236,15.2 ,11.0 ,21.1 ,46.8 ,38.9 ,56.2 ,2.8 ,2.1 ,3.6 ,15.1 ,10.9 ,21.0 ,0.6 ,0.1 ,1.1 ,5.7 ,3.3 ,9.9 ,67.2 ,57.6 ,78.5 ,12.4 ,11.0 ,13.8 ,8.6 ,5.6 ,13.2 ,38.5 ,31.1 ,47.6 
251,Minneapolis,MN,"1,323",19.9 ,17.6 ,22.5 ,55.4 ,51.5 ,59.6 ,3.8 ,3.5 ,4.2 ,16.0 ,13.9 ,18.3 ,0.5 ,0.3 ,0.7 ,4.4 ,3.4 ,5.8 ,62.0 ,57.9 ,66.4 ,10.2 ,9.6 ,10.8 ,8.1 ,6.7 ,9.8 ,52.5 ,48.6 ,56.6 
253,Rochester,MN,287,19.3 ,14.8 ,25.2 ,51.5 ,43.9 ,60.6 ,3.4 ,2.7 ,4.0 ,17.8 ,13.5 ,23.5 ,0.5 ,0.1 ,1.0 ,,,,63.3 ,54.8 ,73.2 ,11.6 ,10.3 ,12.9 ,5.8 ,3.6 ,9.4 ,56.3 ,48.2 ,65.8 
254,St. Cloud,MN,121,19.5 ,13.0 ,29.4 ,49.9 ,38.8 ,64.1 ,4.0 ,3.0 ,5.0 ,16.0 ,10.2 ,25.1 ,0.5 ,,1.2 ,,,,67.4 ,54.4 ,83.6 ,11.2 ,9.2 ,13.1 ,12.1 ,7.3 ,20.0 ,49.6 ,38.3 ,64.3 
256,St. Paul,MN,359,20.1 ,15.9 ,25.3 ,57.5 ,50.2 ,65.9 ,3.9 ,3.3 ,4.5 ,22.1 ,17.7 ,27.6 ,0.8 ,0.4 ,1.2 ,5.0 ,3.1 ,8.1 ,65.6 ,57.7 ,74.4 ,11.1 ,9.9 ,12.2 ,7.4 ,5.1 ,10.8 ,61.3 ,53.6 ,70.2 
257,Gulfport,MS,180,22.2 ,16.4 ,30.2 ,62.3 ,51.7 ,75.1 ,4.9 ,4.0 ,5.7 ,34.6 ,27.1 ,44.3 ,2.1 ,1.5 ,2.6 ,12.4 ,8.3 ,18.6 ,67.7 ,56.6 ,80.9 ,11.1 ,9.4 ,12.7 ,13.6 ,9.1 ,20.3 ,49.3 ,40.3 ,60.5 
258,Hattiesburg,MS,284,25.5 ,20.4 ,31.8 ,64.5 ,56.0 ,74.4 ,5.2 ,4.6 ,5.9 ,24.2 ,19.3 ,30.5 ,1.0 ,0.6 ,1.4 ,10.6 ,7.6 ,14.9 ,61.5 ,52.9 ,71.4 ,10.0 ,8.8 ,11.3 ,8.5 ,5.7 ,12.7 ,53.6 ,45.7 ,63.0 
259,Jackson,MS,996,24.0 ,21.2 ,27.2 ,62.4 ,57.6 ,67.5 ,5.5 ,5.1 ,5.8 ,22.6 ,19.9 ,25.8 ,1.1 ,0.9 ,1.3 ,11.5 ,9.6 ,13.7 ,62.5 ,57.7 ,67.7 ,9.4 ,8.7 ,10.0 ,11.9 ,9.8 ,14.3 ,53.9 ,49.5 ,58.8 
260,Meridian,MS,203,28.2 ,21.9 ,36.3 ,57.6 ,48.1 ,68.9 ,4.7 ,4.0 ,5.5 ,16.6 ,11.9 ,23.2 ,0.5 ,0.0 ,1.0 ,6.1 ,3.6 ,10.3 ,60.9 ,51.0 ,72.9 ,11.1 ,9.6 ,12.6 ,,,,33.1 ,26.0 ,42.1 
261,Oxford,MS,158,29.0 ,21.8 ,38.6 ,62.8 ,51.6 ,76.4 ,5.5 ,4.6 ,6.4 ,28.5 ,21.4 ,38.1 ,1.4 ,0.8 ,2.0 ,12.4 ,8.1 ,19.0 ,63.4 ,52.0 ,77.2 ,10.1 ,8.4 ,11.8 ,11.7 ,7.4 ,18.6 ,49.3 ,39.4 ,61.6 
262,Tupelo,MS,326,29.3 ,24.1 ,35.6 ,62.8 ,54.9 ,72.0 ,4.6 ,4.0 ,5.3 ,19.8 ,15.6 ,25.1 ,0.7 ,0.3 ,1.1 ,9.3 ,6.6 ,13.0 ,63.0 ,54.8 ,72.4 ,11.0 ,9.8 ,12.2 ,5.6 ,3.5 ,8.9 ,45.4 ,38.6 ,53.5 
263,Cape Girardeau,MO,331,22.4 ,17.9 ,28.1 ,61.1 ,53.2 ,70.1 ,4.8 ,4.1 ,5.4 ,32.9 ,27.2 ,39.6 ,1.7 ,1.3 ,2.1 ,8.4 ,5.8 ,12.1 ,64.2 ,56.1 ,73.5 ,10.1 ,8.9 ,11.3 ,9.3 ,6.6 ,13.3 ,45.5 ,38.8 ,53.4 
264,Columbia,MO,666,24.6 ,21.1 ,28.7 ,57.1 ,51.6 ,63.1 ,4.3 ,3.8 ,4.7 ,30.2 ,26.3 ,34.7 ,1.4 ,1.1 ,1.6 ,10.3 ,8.0 ,13.1 ,59.0 ,53.4 ,65.1 ,9.6 ,8.8 ,10.5 ,8.2 ,6.3 ,10.6 ,41.1 ,36.5 ,46.3 
267,Joplin,MO,362,31.2 ,26.0 ,37.5 ,62.0 ,54.4 ,70.6 ,4.4 ,3.8 ,5.0 ,24.7 ,20.1 ,30.4 ,0.8 ,0.5 ,1.2 ,10.7 ,7.8 ,14.7 ,57.3 ,49.9 ,65.6 ,9.9 ,8.7 ,11.0 ,5.7 ,3.7 ,8.7 ,44.4 ,38.1 ,51.9 
268,Kansas City,MO,"1,766",20.2 ,18.2 ,22.5 ,60.9 ,57.4 ,64.7 ,4.4 ,4.1 ,4.6 ,33.8 ,31.1 ,36.6 ,1.6 ,1.4 ,1.8 ,6.8 ,5.6 ,8.1 ,70.8 ,66.9 ,74.8 ,11.1 ,10.6 ,11.7 ,9.9 ,8.6 ,11.5 ,58.1 ,54.5 ,61.8 
270,Springfield,MO,718,20.5 ,17.5 ,24.1 ,58.4 ,53.0 ,64.2 ,4.2 ,3.8 ,4.6 ,23.3 ,20.0 ,27.1 ,0.8 ,0.6 ,1.1 ,7.9 ,6.1 ,10.3 ,65.3 ,59.7 ,71.6 ,10.4 ,9.6 ,11.2 ,8.1 ,6.3 ,10.4 ,44.7 ,40.0 ,49.9 
273,St. Louis,MO,"2,741",24.0 ,22.2 ,25.9 ,64.6 ,61.6 ,67.8 ,4.8 ,4.6 ,5.1 ,33.1 ,31.0 ,35.3 ,1.5 ,1.3 ,1.6 ,10.2 ,9.1 ,11.5 ,63.1 ,60.1 ,66.2 ,9.0 ,8.6 ,9.4 ,11.6 ,10.4 ,13.0 ,57.1 ,54.3 ,60.1 
274,Billings,MT,418,20.0 ,16.1 ,24.8 ,54.1 ,47.5 ,61.6 ,3.7 ,3.1 ,4.2 ,17.6 ,14.0 ,22.1 ,0.7 ,0.3 ,1.0 ,3.8 ,2.3 ,6.3 ,57.4 ,50.6 ,65.1 ,9.9 ,8.8 ,10.9 ,7.7 ,5.5 ,10.8 ,36.6 ,31.1 ,43.0 
275,Great Falls,MT,128,22.3 ,15.4 ,32.3 ,61.4 ,49.2 ,76.5 ,4.5 ,3.5 ,5.4 ,26.2 ,18.6 ,36.8 ,0.9 ,0.3 ,1.5 ,10.2 ,5.8 ,17.9 ,53.2 ,42.1 ,67.4 ,8.7 ,6.8 ,10.6 ,,,,41.4 ,31.5 ,54.5 
276,Missoula,MT,302,20.1 ,15.7 ,25.8 ,53.9 ,46.3 ,62.8 ,3.7 ,3.1 ,4.4 ,28.7 ,23.3 ,35.4 ,1.0 ,0.6 ,1.4 ,6.0 ,3.8 ,9.6 ,62.3 ,54.0 ,71.9 ,10.0 ,8.7 ,11.2 ,10.2 ,7.2 ,14.5 ,34.0 ,27.9 ,41.4 
277,Lincoln,NE,533,22.3 ,18.6 ,26.8 ,56.6 ,50.5 ,63.3 ,3.8 ,3.3 ,4.2 ,19.6 ,16.1 ,23.8 ,0.8 ,0.5 ,1.1 ,6.6 ,4.7 ,9.3 ,58.2 ,52.1 ,65.0 ,9.0 ,8.1 ,10.0 ,7.5 ,5.5 ,10.2 ,51.8 ,45.9 ,58.4 
278,Omaha,NE,"1,078",20.9 ,18.3 ,23.8 ,61.0 ,56.5 ,65.9 ,4.3 ,4.0 ,4.7 ,29.4 ,26.3 ,32.9 ,1.4 ,1.1 ,1.6 ,8.2 ,6.6 ,10.1 ,60.6 ,56.1 ,65.5 ,8.7 ,8.0 ,9.4 ,12.2 ,10.3 ,14.4 ,55.0 ,50.7 ,59.7 
279,Las Vegas,NV,"1,081",23.6 ,20.8 ,26.6 ,66.6 ,61.9 ,71.6 ,5.5 ,5.1 ,5.8 ,42.8 ,39.1 ,46.9 ,2.6 ,2.4 ,2.8 ,17.8 ,15.5 ,20.5 ,64.5 ,59.9 ,69.6 ,8.6 ,8.0 ,9.3 ,14.7 ,12.6 ,17.2 ,68.4 ,63.6 ,73.5 
280,Reno,NV,504,27.6 ,23.4 ,32.5 ,60.1 ,53.8 ,67.3 ,4.3 ,3.8 ,4.8 ,33.0 ,28.4 ,38.4 ,1.6 ,1.3 ,1.9 ,8.0 ,5.9 ,10.8 ,46.4 ,40.8 ,52.8 ,7.6 ,6.7 ,8.6 ,5.4 ,3.7 ,7.8 ,55.6 ,49.4 ,62.6 
281,Lebanon,NH,403,25.8 ,21.3 ,31.3 ,56.6 ,49.8 ,64.3 ,3.9 ,3.4 ,4.5 ,21.2 ,17.2 ,26.3 ,0.7 ,0.3 ,1.0 ,6.4 ,4.3 ,9.5 ,46.4 ,40.3 ,53.6 ,8.5 ,7.4 ,9.5 ,5.5 ,3.7 ,8.3 ,47.0 ,40.6 ,54.5 
282,Manchester,NH,797,22.1 ,19.0 ,25.6 ,58.6 ,53.5 ,64.1 ,4.2 ,3.8 ,4.6 ,18.1 ,15.4 ,21.4 ,0.7 ,0.5 ,1.0 ,5.8 ,4.3 ,7.8 ,61.0 ,55.9 ,66.7 ,9.4 ,8.6 ,10.1 ,10.5 ,8.5 ,13.0 ,63.5 ,58.1 ,69.4 
283,Camden,NJ,"3,252",23.5 ,21.8 ,25.2 ,66.5 ,63.6 ,69.4 ,5.8 ,5.6 ,6.0 ,42.3 ,40.0 ,44.7 ,2.6 ,2.4 ,2.7 ,13.9 ,12.7 ,15.4 ,66.4 ,63.6 ,69.3 ,8.8 ,8.4 ,9.2 ,16.2 ,14.9 ,17.7 ,78.2 ,75.2 ,81.4 
284,Hackensack,NJ,"1,163",31.9 ,28.8 ,35.4 ,65.3 ,60.8 ,70.2 ,5.8 ,5.5 ,6.1 ,26.3 ,23.5 ,29.5 ,1.2 ,1.0 ,1.4 ,14.3 ,12.2 ,16.7 ,52.2 ,48.2 ,56.6 ,7.4 ,6.8 ,8.1 ,8.8 ,7.2 ,10.7 ,74.0 ,69.2 ,79.2 
285,Morristown,NJ,904,28.0 ,24.7 ,31.8 ,65.0 ,59.9 ,70.5 ,5.3 ,4.9 ,5.7 ,34.8 ,31.1 ,39.0 ,1.6 ,1.4 ,1.8 ,11.3 ,9.2 ,13.8 ,56.0 ,51.3 ,61.1 ,7.9 ,7.2 ,8.6 ,12.2 ,10.1 ,14.7 ,76.9 ,71.3 ,82.9 
288,New Brunswick,NJ,886,31.1 ,27.5 ,35.1 ,68.1 ,62.8 ,73.9 ,6.0 ,5.6 ,6.4 ,40.8 ,36.7 ,45.4 ,2.5 ,2.2 ,2.7 ,13.8 ,11.5 ,16.6 ,54.1 ,49.5 ,59.2 ,7.8 ,7.0 ,8.5 ,10.3 ,8.3 ,12.7 ,78.8 ,73.2 ,84.8 
289,Newark,NJ,"1,097",33.0 ,29.7 ,36.7 ,68.4 ,63.6 ,73.6 ,6.2 ,5.8 ,6.5 ,41.6 ,37.9 ,45.7 ,2.5 ,2.3 ,2.7 ,17.3 ,15.0 ,20.0 ,50.7 ,46.7 ,55.2 ,7.2 ,6.5 ,7.8 ,10.4 ,8.6 ,12.6 ,73.6 ,68.7 ,78.8 
291,Paterson,NJ,313,28.9 ,23.5 ,35.6 ,62.7 ,54.5 ,72.2 ,5.7 ,5.1 ,6.3 ,29.5 ,24.0 ,36.2 ,1.5 ,1.1 ,1.9 ,12.1 ,8.8 ,16.8 ,58.3 ,50.4 ,67.4 ,7.6 ,6.4 ,8.9 ,13.3 ,9.8 ,18.0 ,71.8 ,63.0 ,81.9 
292,Ridgewood,NJ,415,38.4 ,32.8 ,45.1 ,65.1 ,57.7 ,73.4 ,5.8 ,5.2 ,6.3 ,25.6 ,21.1 ,31.1 ,1.3 ,0.9 ,1.6 ,16.5 ,12.9 ,21.2 ,45.3 ,39.3 ,52.2 ,6.4 ,5.3 ,7.4 ,7.6 ,5.3 ,10.7 ,79.5 ,71.3 ,88.6 
293,Albuquerque,NM,802,20.5 ,17.6 ,23.9 ,59.5 ,54.4 ,65.1 ,4.2 ,3.8 ,4.6 ,24.6 ,21.4 ,28.3 ,1.0 ,0.8 ,1.3 ,8.2 ,6.4 ,10.5 ,62.3 ,57.1 ,68.0 ,9.4 ,8.6 ,10.2 ,12.3 ,10.1 ,14.9 ,49.4 ,44.7 ,54.7 
295,Albany,NY,"1,585",28.9 ,26.3 ,31.7 ,61.7 ,57.9 ,65.7 ,5.4 ,5.1 ,5.7 ,19.4 ,17.3 ,21.7 ,0.8 ,0.6 ,0.9 ,7.1 ,5.9 ,8.6 ,54.3 ,50.8 ,58.0 ,8.3 ,7.7 ,8.8 ,8.9 ,7.6 ,10.5 ,71.0 ,66.9 ,75.3 
296,Binghamton,NY,380,31.8 ,26.5 ,38.0 ,63.4 ,55.8 ,71.9 ,5.4 ,4.8 ,6.0 ,19.1 ,15.2 ,24.1 ,0.8 ,0.4 ,1.2 ,8.4 ,5.9 ,12.0 ,54.0 ,47.1 ,61.9 ,8.2 ,7.0 ,9.3 ,9.3 ,6.7 ,12.9 ,64.4 ,56.8 ,73.1 
297,Bronx,NY,549,32.8 ,28.4 ,38.0 ,63.8 ,57.4 ,70.9 ,6.2 ,5.7 ,6.7 ,21.3 ,17.7 ,25.5 ,1.2 ,0.9 ,1.5 ,15.0 ,12.2 ,18.5 ,34.0 ,29.4 ,39.3 ,6.0 ,5.1 ,7.0 ,4.8 ,3.2 ,7.1 ,70.4 ,63.8 ,77.7 
299,Buffalo,NY,751,31.7 ,27.8 ,36.1 ,59.5 ,54.2 ,65.4 ,5.0 ,4.6 ,5.4 ,22.0 ,18.8 ,25.7 ,0.9 ,0.6 ,1.1 ,10.3 ,8.2 ,13.0 ,49.3 ,44.5 ,54.6 ,7.8 ,7.0 ,8.6 ,7.0 ,5.3 ,9.2 ,66.1 ,60.5 ,72.2 
300,Elmira,NY,349,30.7 ,25.3 ,37.3 ,63.1 ,55.2 ,72.1 ,5.9 ,5.3 ,6.5 ,20.1 ,15.8 ,25.5 ,0.9 ,0.5 ,1.3 ,7.0 ,4.6 ,10.6 ,45.2 ,38.7 ,52.8 ,7.1 ,5.9 ,8.2 ,8.3 ,5.8 ,12.0 ,66.3 ,58.3 ,75.5 
301,East Long Island,NY,"3,814",33.4 ,31.5 ,35.4 ,67.9 ,65.3 ,70.7 ,6.5 ,6.3 ,6.6 ,23.4 ,21.8 ,25.0 ,1.1 ,1.0 ,1.2 ,14.1 ,12.9 ,15.4 ,52.0 ,49.8 ,54.4 ,7.2 ,6.8 ,7.5 ,10.1 ,9.1 ,11.1 ,79.5 ,76.7 ,82.5 
303,Manhattan,NY,"2,923",38.3 ,36.0 ,40.7 ,66.5 ,63.5 ,69.6 ,6.5 ,6.2 ,6.7 ,20.4 ,18.8 ,22.2 ,0.9 ,0.8 ,1.1 ,16.7 ,15.2 ,18.3 ,41.7 ,39.4 ,44.2 ,6.2 ,5.8 ,6.6 ,6.6 ,5.7 ,7.7 ,72.6 ,69.5 ,75.8 
304,Rochester,NY,569,19.2 ,15.9 ,23.2 ,57.9 ,51.9 ,64.5 ,4.6 ,4.1 ,5.0 ,18.6 ,15.3 ,22.5 ,0.7 ,0.4 ,1.0 ,7.7 ,5.7 ,10.5 ,64.9 ,58.6 ,71.9 ,8.8 ,7.9 ,9.7 ,16.1 ,13.1 ,19.8 ,55.7 ,49.7 ,62.3 
307,Syracuse,NY,930,34.3 ,30.7 ,38.4 ,58.5 ,53.7 ,63.6 ,5.3 ,4.9 ,5.7 ,20.3 ,17.5 ,23.4 ,0.7 ,0.5 ,0.9 ,7.7 ,6.0 ,9.8 ,45.1 ,41.0 ,49.6 ,7.7 ,6.9 ,8.4 ,5.3 ,4.0 ,7.0 ,61.4 ,56.5 ,66.7 
308,White Plains,NY,994,30.6 ,27.3 ,34.4 ,65.1 ,60.2 ,70.4 ,5.8 ,5.5 ,6.2 ,26.1 ,23.0 ,29.6 ,1.2 ,0.9 ,1.4 ,10.5 ,8.6 ,12.8 ,40.4 ,36.6 ,44.5 ,6.0 ,5.3 ,6.7 ,7.0 ,5.5 ,8.9 ,78.5 ,73.1 ,84.2 
